time,crack_area,max_d
0,0,0
0.820703125,0.017639048774353,0.99999999585934
3.3252902984619,0.017931458343987,0.99999999585934
8.2566128730774,0.018217480760211,0.99999999585934
13.256612873077,0.018946459401424,1
18.256612873077,0.019468889319993,1
23.256612873077,0.019479634518102,1
28.256612873077,0.01952662903471,1
33.256612873077,0.019569334421132,1
38.256612873077,0.019607454440783,1
43.256612873077,0.019853585157257,1
48.256612873077,0.020119544723882,1
53.256612873077,0.020123068370478,1
58.256612873077,0.020123219860594,1
63.256612873077,0.020130056506606,1
68.256612873077,0.020139508233759,1
73.256612873077,0.020149688624472,1
78.256612873077,0.020174435687575,1
83.256612873077,0.020271803048369,1
88.256612873077,0.020796812541675,1
93.256612873077,0.021162694564634,1
98.256612873077,0.021186493405986,1
103.25661287308,0.021206098397159,1
108.25661287308,0.021227846452589,1
113.25661287308,0.021244160516239,1
118.25661287308,0.021256533810268,1
123.25661287308,0.021256869378419,1
128.25661287308,0.021256891235398,1
133.25661287308,0.02125731679567,1
138.25661287308,0.021257346553422,1
143.25661287308,0.021257626839168,1
148.25661287308,0.021258365282639,1
153.25661287308,0.021260511239901,1
158.25661287308,0.021291573342864,1
163.25661287308,0.021594606878165,1
168.25661287308,0.021614151166606,1
173.25661287308,0.021624893162363,1
178.25661287308,0.02163493374601,1
183.25661287308,0.021641389774803,1
188.25661287308,0.021650587029152,1
193.25661287308,0.021653545409599,1
198.25661287308,0.021653683655951,1
203.25661287308,0.021653720910926,1
208.25661287308,0.021653911422734,1
213.25661287308,0.021653923089647,1
218.25661287308,0.021653993470574,1
223.25661287308,0.021654395826862,1
228.25661287308,0.021657884051278,1
233.25661287308,0.021782005233465,1
238.25661287308,0.021805570263353,1
243.25661287308,0.021809151635411,1
248.25661287308,0.02181688566502,1
251.81911287308,0.022252835207294,1
251.90651521683,0.022305977412914,1
252.00669870377,0.022345274771636,1
252.15963933282,0.022396159226799,1
252.171945933,0.022438663308082,1
252.20839247323,0.022452173620529,1
252.29976615241,0.022491323930168,1
252.32096265561,0.022536417967498,1
252.3474810038,0.022555297063647,1
252.40674186819,0.022604826376588,1
252.42649957724,0.022632312154134,1
252.48679532018,0.022673135534906,1
252.56877128035,0.022719184733072,1
252.58070421258,0.022736094374995,1
252.60878160586,0.022755225038851,1
252.64532331088,0.022781317413516,1
252.67879417194,0.022806930488206,1
252.69684091624,0.022813038347053,1
252.71774635819,0.022835810973815,1
252.72802531028,0.022878189815338,1
252.74796229334,0.022909143943936,1
252.76347014376,0.022931467142176,1
252.78731978684,0.022950063095059,1
252.80210922549,0.022972543872273,1
252.81360022125,0.023034417452984,1
252.83130781936,0.023060107806912,1
252.84001443044,0.02307322627321,1
252.85690171196,0.023110941593395,1
252.87339319782,0.023144792959951,1
252.87803742076,0.023165613850347,1
252.88187968717,0.023312266844691,1
252.89360535372,0.023611199972116,1
252.92938924822,0.023701940860113,1
252.94739409793,0.023749210608822,1
253.00071625593,0.023780623923456,1
253.04656774421,0.023830966390204,1
253.11013270993,0.023835751430416,1
253.12726911825,0.023884114021672,1
253.15757925587,0.023898737763128,1
253.25007845514,0.023947941004561,1
253.42151865341,0.024035702265911,1
253.44030771315,0.024050495277269,1
253.46184436125,0.02408255155284,1
253.51583803972,0.024089531363228,1
253.54247708481,0.024143836679798,1
253.60515698032,0.024145538288035,1
253.6267162465,0.024188160180632,1
253.65660434974,0.024228402245274,1
253.73153563103,0.024272553886069,1
253.76850473254,0.024303054623662,1
253.80560102133,0.024311865280576,1
253.83957986077,0.024367691611721,1
253.94327504949,0.024384850372491,1
253.98183376733,0.024457252035197,1
254.00161205497,0.024485866208348,1
254.06197059881,0.024494629345634,1
254.08441472654,0.024575502473304,1
254.10333004122,0.024603356318274,1
254.11505964594,0.024625591070093,1
254.13309869574,0.024647347123535,1
254.14714271264,0.024674078637286,1
254.16434609112,0.024693308945173,1
254.17773950934,0.024716642387175,1
254.19771047624,0.024788895876435,1
254.25865703052,0.024794644880421,1
254.35568204668,0.024860350364998,1
254.36591792031,0.024860517567681,1
254.37180743797,0.024863020031801,1
254.38566508002,0.024887318039089,1
254.42795524741,0.024901731892682,1
254.48152009847,0.024984649584206,1
254.60755461871,0.025050063271974,1
254.74961574269,0.02509440662588,1
254.75625197432,0.02511926140055,1
254.76092254412,0.025139990726831,1
254.76665393054,0.02534606656553,1
254.7810228627,0.025569237856052,1
254.79810372529,0.025636497291505,1
254.85023038111,0.025654832859129,1
254.98091505781,0.02570130655848,1
255.02823714525,0.025772507617588,1
255.07678387656,0.025803234490655,1
255.16676153374,0.025849189359581,1
255.19061557319,0.025880723186033,1
255.26126036505,0.025884987546493,1
255.340888379,0.025948652767144,1
255.37457444079,0.02596846522104,1
255.47737614305,0.025970528322785,1
255.6075850831,0.026055422198447,1
255.73240909208,0.026116679160912,1
255.75227739958,0.026183083309445,1
255.77666420907,0.026218008190407,1
255.8223173358,0.026247911762483,1
