time,crack_area,max_d
0,0,0
0.820703125,0,0
3.3252902984619,0,0
8.2566128730774,0,0
13.256612873077,0,0
18.256612873077,0,0
23.256612873077,0,0
28.256612873077,0,0
33.256612873077,0,0
38.256612873077,0,0
43.256612873077,0,0
48.256612873077,0,0
53.256612873077,0,0
58.256612873077,0,0
63.256612873077,0,0
68.256612873077,0,0
73.256612873077,0,0
78.256612873077,0,0
83.256612873077,0,0
88.256612873077,0,0
93.256612873077,0,0
98.256612873077,0,0
103.25661287308,0,0
108.25661287308,0,0
113.25661287308,0,0
118.25661287308,0,0
123.25661287308,0,0
128.25661287308,0,0
133.25661287308,0,0
138.25661287308,0,0
143.25661287308,0,0
148.25661287308,0,0
153.25661287308,0,0
158.25661287308,0,0
163.25661287308,0,0
168.25661287308,0,0
173.25661287308,0,0
178.25661287308,0,0
183.25661287308,0,0
188.25661287308,0,0
193.25661287308,0,0
198.25661287308,0,0
203.25661287308,0,0
208.25661287308,0,0
213.25661287308,0,0
218.25661287308,0,0
223.25661287308,0,0
228.25661287308,0,0
233.25661287308,0,0
238.25661287308,0,0
243.25661287308,0,0
248.25661287308,0,0
253.25661287308,0,0
258.25661287308,0,0
263.25661287308,0,0
268.25661287308,0,0
273.25661287308,0,0
278.25661287308,0,0
283.25661287308,0,0
288.25661287308,0,0
293.25661287308,0,0
298.25661287308,0,0
303.25661287308,0,0
308.25661287308,0,0
313.25661287308,0,0
318.25661287308,0,0
323.25661287308,0,0
328.25661287308,0,0
333.25661287308,0,0
338.25661287308,0,0
343.25661287308,0,0
348.25661287308,0,0
353.25661287308,0,0
358.25661287308,0,0
363.25661287308,0,0
368.25661287308,0,0
373.25661287308,0,0
378.25661287308,0,0
383.25661287308,0,0
388.25661287308,0,0
393.25661287308,0,0
398.25661287308,0,0
403.25661287308,0,0
408.25661287308,0,0
413.25661287308,0,0
418.25661287308,0,0
423.25661287308,0,0
428.25661287308,0,0
433.25661287308,0,0
438.25661287308,0,0
443.25661287308,0,0
448.25661287308,0,0
453.25661287308,0,0
458.25661287308,0,0
463.25661287308,0,0
468.25661287308,0,0
473.25661287308,0,0
478.25661287308,0,0
483.25661287308,0,0
488.25661287308,0,0
493.25661287308,0,0
498.25661287308,0,0
503.25661287308,0,0
508.25661287308,0,0
513.25661287308,0,0
518.25661287308,0,0
523.25661287308,0,0
528.25661287308,0,0
533.25661287308,0,0
538.25661287308,0,0
543.25661287308,0,0
548.25661287308,0,0
553.25661287308,0,0
558.25661287308,0,0
563.25661287308,0,0
568.25661287308,0,0
573.25661287308,0,0
578.25661287308,0,0
583.25661287308,0,0
588.25661287308,0,0
593.25661287308,0,0
598.25661287308,0,0
603.25661287308,0,0
608.25661287308,0,0
613.25661287308,0,0
618.25661287308,0,0
623.25661287308,0,0
628.25661287308,0,0
633.25661287308,0,0
638.25661287308,0,0
643.25661287308,0,0
648.25661287308,0,0
653.25661287308,0,0
658.25661287308,0,0
663.25661287308,0,0
668.25661287308,0,0
673.25661287308,0,0
678.25661287308,0,0
683.25661287308,0,0
688.25661287308,0,0
693.25661287308,0,0
698.25661287308,0,0
703.25661287308,0,0
708.25661287308,0,0
713.25661287308,0,0
718.25661287308,0,0
723.25661287308,0,0
728.25661287308,0,0
733.25661287308,0,0
738.25661287308,0,0
743.25661287308,0,0
748.25661287308,0,0
753.25661287308,0,0
758.25661287308,0,0
763.25661287308,0,0
768.25661287308,0,0
773.25661287308,0,0
778.25661287308,0,0
783.25661287308,0,0
788.25661287308,0,0
793.25661287308,0,0
798.25661287308,0,0
803.25661287308,0,0
808.25661287308,0,0
813.25661287308,0,0
818.25661287308,0,0
823.25661287308,0,0
828.25661287308,0,0
833.25661287308,0,0
838.25661287308,0,0
843.25661287308,0,0
848.25661287308,0,0
853.25661287308,0,0
858.25661287308,0,0
863.25661287308,0,0
